question;reponse;thematiques
Vendre Télécharger un article Ajouter un article étape par étape;"Ajouter un article étape par étape
Voici comment mettre un article en ligne sur Vinted:
Ajoute 1 à 20photosde bonne qualitéAjoute un titre etdécris ton articleen détailsChoisislacatégorie à laquelle appartient ton article.Selon cela, tu devras spécifier certains des détails suivants :Sa marqueSa conditionSa tailleSon colorisSa matière (de quoi est composé l’article ?)Son ISBN, s’il s’agit d’un livre (numéro international normalisé du livre)Fixe unprix attractifDéfinie si tu souhaites ou non échanger l’articleSélectionne lataille du colis.
Suis ces 6 étapes, et voilà ! -Mets un article en ligne dés maintenantet fais le découvrir aux autres membres de Vinted.
Bon à savoir:
Chaque livre possède son ISBN, un ensemble de 10 ou 13 chiffres, trouvable au-dessus du code-barres du livre. Le code-barres se trouve le plus souvent sur la quatrième de couverture ou sur une des dernières pages du livre.";Vendre Télécharger un article
Vendre Télécharger un article Quelles photos dois-je mettre en ligne pour mes articles de marque ?;"Quelles photos dois-je mettre en ligne pour mes articles de marque ?
La vente d'articles de contrefaçon est strictement interdite sur Vinted. Pour cette raison, lorsque tu mets en ligne un article de marque, nous te demandons de justifier clairement son authenticité.
La création d’une annonce bien détaillée et visuellement attrayante aidera également les autres membres à se décider plus rapidement pour l’achat de ton article.
Prends de bonnes photos de tes articles
Assure-toi de suivre ces instructions lorsque tu prends des photos de tes articles :
Choisis un bon éclairage pour tes photos.Prends une photo présentant ton article en sa totalité, et utilise-la comme photo principale pour ton annonce.Prends une photo de l’arrière de l’article et utilise-la en deuxième position pour ton annoncePrends trois photos en gros plan de certains détails de ton article pour illustrer son authenticité. Pour savoir quels détails peuvent illustrer l’authenticité des différents types d’articles, continue ta lecture ci-dessous.
Eléments supplémentaires à afficher dans tes annonces
Tu trouveras ci-dessous les détails pouvant t’aider à illustrer l'authenticité de ton article. Nous te recommandons de publier au moins 3 photos de différents détails pour chacune de tes annonces.
Pour les annonces de vêtements, de lingerie et de maillots de bain, merci de mettre en ligne au moins 3 photos de certains des éléments suivants :
Logo appliqué ou brodéEtiquette à l’encolureDétails des couturesEtiquette intérieureTicket de caisse, étiquette du magasinFermetures éclair, boutons ou autres détails similairesGravures
Pour les annonces de chaussures, merci de mettre en ligne au moins 3 photos de certains des éléments suivants :
Semelle intérieure et extérieureDétails des couturesEtiquette intérieure (languette de chaussure pour les baskets)Boîte du fabricant, dust bagTicket de caisse, étiquette du magasin
Pour les annonces de sacs à main, portefeuilles et sacs à dos, merci de mettre en ligne au moins 3 photos de certains des éléments suivants :
Logo sur la partie extérieure de l'articleDétails des couturesBoîte du fabricant, dust bagNuméro de série (s'applique aux articles de luxe)Logo marqué à chaud ou gravé, sur le le côté interne de l'article, les boutons, les rivets, ou les fermetures éclairTicket de caisse, étiquette du magasinÉtiquette intérieure
Pour les annonces de bijoux, ceintures et foulards, merci de mettre en ligne au moins 3 photos de certains des éléments suivants :
GravuresDétails des couturesNuméro de série (s'applique aux articles de luxe)ÉtiquetteBoucle de ceintureTicket de caisse, boîte du fabricant, étiquette du magasin
Pour les annonces de produits cosmétiques, merci de mettre en ligne au moins 3 photos de certains des éléments suivants :
Emballage completNuméro de lotGros plans de divers détails de l'article : nuances (pour les fards et autres palettes), texte écrit sur l'emballage de l’article, etcTicket de caisse
Seuls les produits cosmétiques neufs sont autorisés à la vente sur Vinted. Les palettes de maquillage peuvent être ouvertes pour afficher leurs teintes, mais ne peuvent pas avoir été utilisées ou essayées (même une seule fois).
Remarque importanteIl est strictement interdit de vendre des articles de contrefaçon sur Vinted. Tu ne dois mettre en ligne que des articles authentiques. En outre, nous nous réservons le droit de supprimer ou masquer ton annonce si elle est portée à notre attention et que tes photos ne présentent pas correctement ton article. Nous pouvons également suspendre ou bloquer ton compte si tu refuses à plusieurs reprises de mettre en ligne des photos appropriées pour illustrer l’authenticité de tes articles.";Vendre Télécharger un article
Vendre Télécharger un article Comment prendre de bonnes photos ?;"Comment prendre de bonnes photos ?
La clé pour attirer l’attention de tes acheteurs est de faire des photos bien détaillées (jusqu’à 20 par annonce) !
Voici 6 conseils pour prendre les photos qui t’aideront à vendre rapidement tes articles :
Une vue d’ensemble sur la première photoMontre ton article dans sa totalité sur la première photo, sans faire de collages.Utilise tes propres photosN’utilise pas de photos provenant de banques d’images, de photos trouvées en ligne, ou qui comportent des filigranes.Elles sont soumises à des droits d’auteurs et ne reflètent pas forcément l’état réel de ton article.Montre les vraies couleurs de ton articleChoisis des photos prises à la lumière du jour, plutôt que celles à la lumière artificielle. N’utilise pas de flash ou de filtres.Montre ton article sous toutes ses couturesPrends des photos de ton articles sous différents angles. Ainsi, ton annonce sera plus complète et plus attractive.Fais des photos en gros plan de tes détailsAjoute des photos en gros plan des détails qui ne sont pas forcément visibles sur les photos. Cela peut inclure des photos du logo, des étiquettes, des coutures, et d’autres détails.Ne cache pas les défautsMontre les défauts de ton article dans les photos (s’il y a lieu). Si tu n’en fais pas mention dans ton annonce, l’acheteur sera susceptible de vouloir annuler la transaction et de demander un remboursement.
Commence à vendre dés maintenant !";Vendre Télécharger un article
Vendre Télécharger un article Comment bien décrire mon article ?;"Comment bien décrire mon article ?
Une description détaillée aidera les acheteurs à trouver ton article dans le catalogue, et à la rendre plus attrayant.
Un titre descriptif
Pour créer un titre descriptif, inclue des détails spécifiques à l’article (marque, couleur, type d’article, ou caractéristique).
Evite certains mots, qui ne différencieront pas ton article du reste, comme « beau », « bon », ou « joli ».
Bon exemple: Mini robe de soirée rose Zara, jamais portéeMauvais exemple: Très jolie robe
Une description détaillée
La description de l’article doit apporter le plus d’informations possible au sujet de celui-ci. Il ne devrait y manquer aucun détail important, et devrait aider l’acheteur à prendre sa décision facilement. Cette description peut comporter :
Des mesures précisesLa matière (exemple : 100% laine)Les retouches effectuées sur l’article, s’il y a lieuManque de l’étiquette du fabricant, ou autres éléments manquantsLes défauts, s’il y a lieu (exemples : tâches, même petites, trous, parties manquantes, déchirures, rayures ou traces d’usure, effilochage, odeurs, bouloches, froissures, déformations, délavage.)
ImportantSi tu ne fais pas mention des défauts dans ton annonce, l’acheteur sera susceptible de vouloir annuler la transaction et de teretourner l’article.";Vendre Télécharger un article
Vendre Télécharger un article Comment choisir l'état de mon article ?;"Comment choisir l'état de mon article ?
L’indication de l’état des articles aide les membres à filtrer le catalogue et à trouver les articles souhaités plus facilement. C’est pourquoi, il est important de rester le plus objectif possible au moment de décider de celui-ci.
Voici ces états plus en détails:
Neuf avec étiquettes:Comme en magasin, les étiquettes sont toujours accrochées, et/ou l’article se trouve dans son emballage d’origine. L’article n’a jamais été utilisé et n’a aucun défaut.Nouveau: L’article est neuf, mais ne possède ni les étiquettes ni l’emballage d’origine. L’article n’a jamais été utilisé et n’a aucun défaut.Très bon état: Utilisé ou porté quelques fois,mais est impeccable et n’a aucun défaut.Bon état: Utilisé ou porté de nombreuses fois, possède un ou plusieurs défauts mineurs, clairement visibles sur les photos et mentionnés dans la description.Satisfaisant: Utilisé ou porté de nombreuses fois, possède des défauts clairement visibles sur les photos et mentionnés dans la description.
Si tu ne fais pas mention des défauts dans ton annonce, et que l’article est dans un pire état que prévu, l’acheteur sera susceptible de vouloir annuler la transaction et de teretourner l’article. Il est donc toujours plus prudent de choisir l’état en dessous en cas de doute.
Nous nous réservons le droit de masquer une annonce si celle-ci ne semble pas refléter l’état réel d’un article.
Mettre en ligne un article avec des défauts :
Si ton article a des défauts, décris ceux-ci et ajoute une photo des dits défauts clairement visibles.Nous recommandons de choisir les états « Bon état » ou « Satisfaisant » pour ce type d’articles.
Voici des exemples de défauts desquels nous suggérons de faire mention : Tâches, même petites, trous, parties manquantes, déchirures,rayures ou traces d’usure, effilochage, odeurs, bouloches,froissures, déformations, délavage.";Vendre Télécharger un article
Vendre Télécharger un article Comment sélectionner une marque ?;Comment sélectionner une marque ?;Vendre Télécharger un article
Vendre Télécharger un article Comment fixer un bon prix ?;"Comment fixer un bon prix ?
Utilise notre grille de prix pour t'aider :
État de l'article : Neuf avec étiquette & Neuf
Prix suggéré : 60% - 80% du prix de vente
------
État de l'article : Très bon état
Prix suggéré : 40% - 60% du prix de vente
------
État de l'article : Bon état & Satisfaisant
Prix suggéré : 20% - 40% du prix de vente
------
Cherche dans le catalogue des articles similaires pour connaître le prix fixé par les autres membres.
Bon à savoir :
En fixant un prix plus bas que ceux fixés pour des articles similaires vendus dans notre catalogue, tu vendras ton article plus vite.N'oublie pas les saisons.Une réduction sur tes articles hors-saison peut t'aider à les vendre.Tu peux fixer un prix entre 1€ et 9 000€.Tu peux changer le prix fixé en modifiant ton article.
Commence à vendre !";Vendre Télécharger un article
Vendre Télécharger un article Comment choisir le format de mon colis ?;"Comment choisir le format de mon colis ?
Lorsque tu mets un article en ligne, tu dois choisir la taille du colis. Il est impossible de changer la taille une fois l’achat effectué, c’est pourquoi il est primordial de choisir correctement la taille du colis correspondant à ton article dès sa mise en ligne.
ImportantUn mauvais choix de la taille du colis peut aboutir à un retour du colis, à des frais d’envoi supplémentaires, des frais à payer à l’arrivée du colis, ou même une évaluation négative de la part de l’acheteur.
Guide des tailles de colis
Taille du colis : Petit
Exemples de contenu : Tee-shirts, écharpes, ceintures, mini jupes, taies d’oreiller, etc
------
Taille du colis : Moyen
Exemples de contenu : Jeans, chaussures, pulls, blazers, serviettes de bain, etc
------
Taille du colis : Grand
Exemples de contenu : Bottes, sacs à dos, lots de vêtements, etc
------
Taille du colis : Articles lourds
Exemples de contenu : Patins à roulettes, petits meubles, vases, etc. (jusqu’à 5 kg)
------
Taille du colis : Articles lourds
Exemples de contenu : Meubles, poussettes pliables, miroirs muraux, tapis, etc. (jusqu’à 10 kg)
------
Taille du colis : Articles lourds
Exemples de contenu : Sièges auto, autres articles lourds (juqu’à 20 kg)
------
Bon à savoir :
Dans certaines sous-catégories, certaines tailles de colis ne sont pas disponibles (en général, pour les articles lourds).";Vendre Télécharger un article
Vendre Télécharger un article Comment vendre un lot;"Comment vendre un lot
Un lot est composé de plusieurs articles pour un prix unique. Tous les articles sont envoyés dans un seul et même colis afin de te permettre d'économiser du temps. L'acheteur économise sur les frais de port !
Si ton acheteur souhaite t’acheter un lot d’articles :
Nous t'informerons dès qu'un acheteur composera un lot dans ton dressing afin que tu puisses définir le montant des frais de port et valider ce lot. Tu auras le choix d’utiliser La Poste, Mondial Relay ou les frais de port personnalisés.Une fois que tu auras choisi le format du colis, l’acheteur devra cliquer sur le boutonAchete r pour procéder à l’achat.Après l’achat, tes articles seront automatiquement marqués comme vendus et tu pourras cliquer surExpédier pour prendre connaissance de nos instructions d’envoi ou surRecevoir le bordereau d'envoi pour télécharger le bordereau d'envoi Mondial Relay.Des réductions spéciales peuvent s’appliquer en fonction du nombre d'articles qui composent ton lot. Tu peux mettre en place plusieurs paliers de réductions viaProfil > Réduction sur les lots > Choisis tes réductions.
Si tu mets en ligne un lot :
Tenue complète : il s’agit de plusieurs articles pouvant être portés ensemble (ex. : une jupe, une chemise et un foulard). Notre conseil : mets en ligne ce lot dans la catégorie de l’article principal. Ajoute le hashtag#look dans ta description afin de donner plus de visibilité à ton lot.
Lot de plusieurs articles du même type : par exemple, 3 T-shirts ou 3 jeans. Ajoute le hashtag#lot afin de donner le plus de visibilité possible à ce lot.
Certaines règles sont à respecter quand tu vends un lot :
Tu ne peux pas mettre en vente un même article dans plusieurs annonces.La première photo de ton annonce doit toujours montrer le lot dans son intégralité (les collages ne sont pas autorisés). Publie ensuite d’autres photos montrant chaque article séparément.Un lot peut comprendre jusqu'à 5 articles maximum. Vérifie le poids total du colis pour t’assurer de choisir le bon format d’envoi.Puisque le lot compte pour une seule annonce, il est obligatoire que le prix indiqué soit celui du lot complet.Pour éviter tout malentendu, indique clairement dans le titre qu'il s'agit d'un lot.
À noter :
Si tu vends un lot et que cette transaction est par la suite annulée, tu ne pourras pas utiliser le boutonRepublier pour remettre tes articles en ligne comme il est possible de le faire dans le cas d'une transaction classique. Tu devras recréer une annonce pour chaque article, ou bien une seule annonce pour le lot complet.";Vendre Télécharger un article
Vendre Télécharger un article Remettre un article en ligne;"Remettre un article en ligne
Si l’un de tes articles a été vendu mais que la transaction a par la suite été annulée, tu peux remettre cet article en ligne très simplement. Il te suffit pour cela de cliquer surRepublie depuis ta conversation avec l'acheteur.
À noter :
Cette option n’est pas disponible si la transaction concernait un lot de plusieurs articles. Il faudra dans ce cas recréer tes annonces pour remettre en ligne chaque article.";Vendre Télécharger un article
Vendre Télécharger un article En quoi consistent les brouillons d'articles ?;"En quoi consistent les brouillons d'articles ?
Les brouillons de tes articles te permettent de sauvegarder les informations enregistrées en tant que brouillon afin de les finaliser plus tard. Tu peux commencer à mettre en ligne ton article via mobile et le finir plus tard sur le site (et vice versa).
Tu peux retrouver tes brouillons sous tes articles. Les brouillons ne sont pas visibles aux autres membres.";Vendre Télécharger un article
Vendre Vendre plus vite Vends tes articles plus vite;"Vends tes articles plus vite
Si tu n'arrives pas à vendre tes articles, voici nos conseils pour que tes articles soient plus visibles :
Veille à ce que l'annonce de ton article soit parfaite.
Mets à jour tes photos et assure-toi que ton article soit bien visible.Améliorele titre et la description . Cela permettra aux membres de trouver ton article plus facilement via l'outil recherche.Propose uneréduction aux acheteurs qui sont intéressés par plusieurs de tes articles.Tu as déjà commencé à discuter avec un acheteur ?Fais-lui une offre !
Sois visible.
Partage ton annonce via les réseaux sociaux.Booste tes articles dans le catalogue chaque semaine.Sois actif et ajoute, régulièrement, des articles. Des acheteurs potentielsvont commencer à s'abonner à ton profil et les membres déjà abonnés recevront une notification dès que tu ajouteras un nouvel article.Baisse le prix de tes articles. Les membres qui te suivent ou qui ont mis en favoris tes articles seront notifiés dès que tu baisses le prix d'un de tes articles.
Construis ton profil.
Assure-toi d'accepter tous les modes de paiements disponibles (paiements par carte de paiement ou PayPal, via le système de paiement Vinted).En proposant plusieurs types de livraison, tu vas attirer plus d'acheteurs.Faisvérifier ton profil afin que les autres membres te fassent confiance.Décris-toi aux autres membres dansla description de ton profil.";Vendre Vendre plus vite
Vendre Vendre plus vite Pourquoi ai-je besoin d'abonnés ?;"Pourquoi ai-je besoin d'abonnés ?
Tes abonnés reçoivent des notifications dès que tu ajoutes de nouveaux articles. En plus de ces notifications, tes abonnés peuvent voir tes articles dans leur fil d’actu.
Par conséquent : plus tu as d’abonnés, plus tes articles seront visibles. Et car beaucoup plus de membres verront ce que tu vends dans ton dressing, tu as plus de chance de vendre tes articles rapidement.
Comment ?
Tous tes abonnés reçoivent une notification dès que tu ajoutes un nouvel article. Ils ne seront alors plus qu’à un clic de ton article.Tes abonnés voient tes articles dans leur fil d’actu personnalisé.Plus d’abonnés = plus de ventes ! Tu as 3 fois plus de chance de vendre tes articles à un de tes abonnés, plutôt qu’à un membre qui n’est pas abonné à ton profil.";Vendre Vendre plus vite
Vendre Vendre plus vite Comment remonter mes articles en haut  du catalogue ?;"Comment remonter mes articles en haut  du catalogue ?
Le Boost est une fonctionnalité payante qui garantie plus de visibilité à l’article de ton choix, et te permet de le vendre plus rapidement.
Lorsque tu boostes ton article, il est affiché en haut du catalogue, ainsi que du fil d’actu et/ou des résultats de recherche des membres de Vinted (une fois par jour, pour une durée de 3 ou 7 jours consécutifs).
Ce que permet le Boost
Le Boost te permet :
D’obtenir une position de choix pour tes articles.Le nombre de Boosts disponibles par semaine est limité. Cela assure une bonne visibilité à chaque article boosté.D’atteindre les membres potentiellement intéressés.La visibilité de l’article boosté dépend de critères sur mesure, comme par exemple, des marques suivies par un membre donné. Cela veut dire que si tu ne vois pas ton propre article en haut de ton fil d’actu, d’autres le verront.De vérifier les statistiques hebdomadaires de ton annonce.Elles t’indiquent exactement combien de personnes ont vu ton article et ont interagi avec.
Afin de pouvoir profiter pleinement des Boosts, ne les utilise que sur tes annonces respectant nosRègles du Catalogue. Mets d’abord les photos et la description de ton article à jour, et lorsque tout est prêt, clique surBoosterpour commencer.
Rends toi ici pour savoircomment acheter un Boost.";Vendre Vendre plus vite
Vendre Vendre plus vite Comment acheter un Boost ?;"Comment acheter un Boost ?
 Tu peux acheter des Boosts en payant avec une carte de paiement, ton compte PayPal ou avec l’argent disponible dans ton porte-monnaie Vinted.
Comment acheter un Boost :
Clique surMes articles sur ton profil ou rends-toi sur la page listant tous tes articles.Clique sur le boutonBooster qui est en dessous de ton article.Si tu souhaites sélectionner plusieurs articles à la fois : clique surSélectionner, en haut à droite et choisis les articles que tu souhaites booster. Clique ensuite surAjouter et enfin surBoost en bas de la page.Après avoir cliqué surRevoir la commande, tu pourras procéder au paiement de tes Boosts.Ajoute ensuite le mode de paiement avec lequel tu souhaites payer tes Boosts. Il est possible que nous te suggérions automatiquement le mode de paiement que tu as utilisé précédemment (pour le modifier, clique sur le symbole « > » à droite du mode de paiement).
Bon à savoir :
Tes informations bancaires sont sécurisées et ne seront jamais divulguées.Le nombre de Boost à l'achat est illimité.Le boutonBoost est accessible en dessous de chacun de tes articles.Si tu boostes un article ou si tu mets ton Dressing en Vitrine, mais que tes articles boostés ou en Vitrine ne répondent pas aux règles de Vinted, les coûts ne seront pas remboursés dans le cas où ces articles sont supprimés.";Vendre Vendre plus vite
Vendre Vendre plus vite Comment faire une offre à mon acheteur ?;"Comment faire une offre à mon acheteur ?
 Le boutonFaire une offre permet aux acheteurs et aux vendeurs de négocier le prix d’un article.
Utilise le boutonFaire une offre pour proposer un prix plus bas à ton acheteur et l’encourager à cliquer encore plus vite sur le boutonAcheter.
Voici comment faire :
Dans ta fenêtre de conversation avec l’acheteur, clique surFaire une offre
Entre ton prix et clique surFaire une offre 
Ton offre sera immédiatement envoyée à ton acheteur, qui pourra l’accepter ou la refuser.L’acheteur doit ensuite cliquer surAcheter pour commencer le processus d’achat. 
Bon à savoir :
L’offre que tu fais à ton acheteur ne sera pas visible des autres membres. Les autres membres ne pourront voir que le prix d’origine de ton article.Tu peux faire jusqu'à 5 offres par jour.Les frais de port ne sont pas inclus dans la réduction.";Vendre Vendre plus vite
Vendre Vendre plus vite En quoi consiste Dressing en Vitrine ?;"En quoi consiste Dressing en Vitrine ?
Le Dressing en Vitrine est une fonctionnalité qui te permet de promouvoir ton dressing dans le fil d’actu et le catalogue des autres membres afin de vendre plus rapidement.
Grâce auDressing en Vitrine:
Tu seras plus visible.5 articles de ton dressing seront mis en avant pendant une durée de 7 jours. Les membres verront ces articles tout en haut de leur fil d’actu.Les 2 premiers articles seront ceux qui correspondront le mieux à leurs recherches et à la personnalisation de leurs profils. Les 3 autres seront ceux qui auront été le plus favorisés par les membres.En plus de ça, les membres pourront visiter ton profil en un clic pour découvrir le reste de ton Dressing !Tu pourras mieux cibler les membres intéressés.Les articles montrés aux membres sont sélectionnés selon les catégories, les tailles, ou les marques que suivent ces membres. Ils verront tes articles même si toi, tu ne les vois pas dans ton fil d'actu.Tu gagneras plusd'abonnés.Le calcul est simple : plus d’abonnés = plus de ventes. Tu as 3 fois plus de chance de vendre tes articles à un de tes abonnés, plutôt qu’à un membre qui n’est pas abonné à ton profil.Tous tes abonnés recevront une notification dès que tu ajouteras un nouvel article.Dès qu’un membre s’abonnera à ton profil, tes articles seront affichés dans son fil d’actu, et ce, même après la fin de la fonctionnalité.Tu recevras des statistiques hebdomadaires.Tu verras le nombre de vues, tes nouveaux abonnés, et les membres qui ont visité ton profil et regardé tes articles.
Bon à savoir :
Tu dois avoir au moins 5 articles dans ton dressing pour pouvoir activer la fonctionnalitéDressing en Vitrine.Afin de profiter au maximum duDressing en Vitrine, mets d’abord à jour tes annonces et veille à ce qu’elles respectentles règles du Catalogue.Si tu vends tes articles alors que la fonctionnalité est encore activée sur ton profil, pense à ajouter plus d’articles afin que ton dressing reste en vitrine.";Vendre Vendre plus vite
Vendre Vendre plus vite Comment paramétrer des réductions sur mon catalogue ?;"Comment paramétrer des réductions sur mon catalogue ?
Tu peux paramétrer des réductions pour les acheteurs qui souhaitent acheter plusieurs articles dans ton dressing. Tu peux proposer des réductions en ordre croissant, en commençant par la quantité d’articles que tu souhaites.Plus la réduction est importante, plus il y aura d’acheteurs intéressés par l’achat de plusieurs de tes articles.Pour paramétrer tes réductions :Rends-toi surMes paramètresClique surTes réductions dans la colonne de gaucheIndique, à l’aide du menu déroulant, les réductions que tu souhaites proposer à tes acheteursBon à savoir :Si tu ne veux pas proposer de réductions à tes acheteurs, désactive la fonctionTes réductionsTu peux proposer les mêmes réductions, pour différentes quantités d’articlesSi tu ne veux pas proposer de réduction pour un certain nombre d’articles, clique simplement sur « - » dans le menu déroulant.";Vendre Vendre plus vite
